epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,7885.55,0.80527,1.39028,0.66783,1.03349,0,0.83745,0.78313,0.81466,0.61895,0.70848,0.66371,0.62553,0.21254,0.94269,1.21095,0.88205,1.04748,0,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,7993.89,0.8177,1.40157,0.68334,1.04525,0,0.84,0.79116,0.81275,0.59602,0.7265,0.6934,0.64695,0.21367,0.9886,1.21783,0.93212,1.05366,0,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,8102.11,0.80694,1.40579,0.66669,1.03471,0,0.82494,0.7751,0.80039,0.59852,0.75016,0.68675,0.67141,0.21296,0.95092,1.21945,0.92231,1.03951,0,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,8210.72,0.81645,1.41158,0.67695,1.03365,0,0.83201,0.75586,0.79678,0.59934,0.77707,0.63855,0.63856,0.21318,0.95912,1.2376,0.91858,1.03062,0,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,8318.91,0.81058,1.4148,0.65998,1.03293,0,0.85268,0.74382,0.7931,0.59372,0.81434,0.6694,0.66892,0.20832,0.91157,1.22627,0.92143,1.02337,0,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,8427.17,0.7998,1.39803,0.66181,1.03037,0,0.83846,0.79212,0.82218,0.62592,0.75149,0.70281,0.67414,0.21868,0.92493,1.21346,0.89281,1.00423,0,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,8535.55,0.80022,1.39519,0.66022,1.03085,0,0.87042,0.75534,0.79871,0.60059,0.77786,0.67502,0.6673,0.21298,0.89993,1.20372,0.89202,1.01273,0,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,8644.18,0.80162,1.40219,0.65122,1.02394,0,0.85481,0.76305,0.81768,0.61261,0.73653,0.6747,0.66654,0.21744,0.93668,1.18743,0.89571,1.02741,0,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,8752.71,0.80934,1.40095,0.67867,1.03737,0,0.82623,0.76381,0.80654,0.59808,0.77532,0.63749,0.63688,0.21364,0.94691,1.21113,0.94306,1.02058,0,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,8861.18,0.79518,1.39544,0.65379,1.03122,0,0.83148,0.77279,0.81074,0.6005,0.73509,0.68675,0.66227,0.21382,0.93372,1.20344,0.90932,0.99267,0,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,8969.52,0.79818,1.40442,0.66376,1.03188,0,0.83183,0.75487,0.7859,0.58977,0.75217,0.68258,0.65016,0.21523,0.944,1.17686,0.91203,1.02902,0,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,9077.86,0.79739,1.39209,0.65348,1.03178,0,0.89188,0.75904,0.82858,0.61946,0.77759,0.66667,0.65584,0.20947,0.92601,1.20752,0.88485,1.01908,0,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,9186.55,0.78731,1.38304,0.6419,1.02266,0,0.7976,0.77108,0.80804,0.6107,0.71502,0.67511,0.64752,0.21791,0.92223,1.21054,0.84633,1.02554,0,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,9295.18,0.79513,1.39829,0.64217,1.0274,0,0.80781,0.77912,0.80403,0.59937,0.72089,0.65462,0.63059,0.20585,0.96137,1.20415,0.90747,1.05385,0,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,9403.47,0.79081,1.3769,0.64463,1.0237,0,0.82606,0.74382,0.80055,0.5992,0.71716,0.66667,0.62727,0.20307,0.92475,1.19385,0.90739,1.00877,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
